sentence,label
"It's a moving story, yes. However the boy is now a life! Before it became a life, it was only a potential life attached to its mother and is completely dependent on her. Only she should have the say in whether it should be kept or not. I am pro-choice, so I say give the women who are considering abortion as much counselling and options and information as you can, but before the fetus can survive outside of her womb it's her choice and society should not make her do anything she doesn't want to do.
",1
"In 95% of cases it is the woman's fault for becoming pregnant, especially in teen cases.
",0
"Exactly.  You wouldn't have cared, because you couldn't have cared.  You would have never have had the chance to voice your opinion; to have your say as you do today.
",0
"Are you arguing against abortion or against your intelligence?
",1
"I find this insulting. I think pro-choice people are pro-choice because they are afraid that if women lose the freedom to choose if they have an abortion, we will start to lose other freedoms.
",0
"You find it insulting because I'm insulting you. Your stupendous lack of brains brings me nausea.
",1
"Abortion is dumb, all the woman who have any are STUPID!!!! Abortion could ruin the race of mankind!! Then we would all be dead!!!!!!!!! AAAAAAAAAAAGGGGGGGGGGGGHHHHHHHHHHH!!!  I do NOT like the idea of abortion and obama is stupid to give federal funds to abortion!!!!
",0
"Abortion could actually save mankind. An aborted fetus could well grow up to be another Hitler or worse, then mankind would really be f...ed. So think about that!
",1
"I wrote this speech...read it and it will answer your questions.   Abortion: Choose Life-it begins at Conception:   Think about this. A girl had an abortion, thinking that the baby wasn’t living so it wouldn’t matter. But, after she had the abortion, she saw what she thought wasn’t living, and it actually was. The baby was living and she watched it die. From then on, she couldn’t even live with herself knowing that she killed a living human being.   This story that I just told you is true. A lot of women think that it isn’t a baby before they have the abortion, and I will explain to you that abortion is the killing of a living baby. Well, if life doesn’t begin at birth, then when does it begin? Life begins at conception. This is a fact, because there is a lot of proof that can back that fact up. For example, there is scientific proof and there is Biblical proof. To further explain what abortion is, I will talk about these important things: one, it is spiritually right that life begins at conception, two, how scientifically there is proof that life begins at conception, Three, what we can do about the abortions, and finally, why girls get abortions. Those are all the things that should be thought about, so I will be explaining them, to help you understand them.   Some woman have abortions because of these three things: one, They might think that they’re too young to have a baby, two, their boyfriend or spouse makes them have an abortion, three, if they do have the abortion the girl’s parents would get mad at her. The case also might be that she just doesn’t want to deal with the baby.   First, you probably ought to know what abortion is. Abortion is killing the baby inside you when you are pregnant. Every year 1.5 million babies are killed by abortion. That’s 125,000 babies killed a month, making it 4,000 babies killed each day, or one baby killed every 20 seconds, that is so amazingly awful. That is basically one murder happening every 20 seconds. How brutal. The fact that life begins at conception is spiritually right. As it says in the Bible; Jeremiah 1:5 says, “Before I formed you in the womb, I knew you, before you were born I set you apart.” The Bible says that life begins at conception, meaning that right at conception the baby becomes a living human being. There are many Bible verses that back up the fact that life begins at conception, like the one I just said. That Bible verse, Jeremiah 1:5 is saying that God intended a unique human being, starting at conception. Just because you can’t see or feel the baby inside of you, doesn’t mean it’s not a baby, and alive and a human being, just like you. That is what a lot of people do not think about, even though you really should.   There also is scientific proof. Some people may think that life begins at birth, or some people even later, but that is wrong, life begins at conception. Because of the fact that the baby forms gradually after conception, then conception is the only real point where you can say that the baby is a living human being. For example, the heart beat starts gradually, over a period of time so conception is the only exact starting point of life. Also, DNA defines a separate human being, and so when does a person form their own DNA? A person gets their own DNA at conception. That is a whole lot of proof, so it is just like saying it is a crime to kill a 1 year old, so why isn’t it a crime to kill a baby when he or she is still in the mother’s womb? That is a question that probably will go unanswered forever, or they will just say that the baby is not living, which is a complete lie.   Now, what can we do about abortion? There many things that we can do about abortion. If you start supporting this pro-life movement then it will keep growing so much then no one will have an abortion. Hopefully then the abortion clinics will shut down, and the law will have to change. But, most importantly you can change the hearts of the people who support abortion, and save the innocent little babies. Now, how can we stop abortion? There are many ways to help stop abortion. Another way is you can donate money to a place like The Pregnancy Resource Center and they will use it to buy an ultrasound machine and to then show the women their babies to try to convince them not to have an abortion. You can also write to the president or another government representative, and tell them about all this proof that I have told you, hoping that their hearts will change and then the law.   In conclusion to all of this, it is spiritually right that life begins at conception, and scientifically there is proof that life begins at conception. There are many ways that you can help stop abortion, so I hope that you take a while and do that. There are a lot of things wrong with having an abortion, so you really should not have one. Just remember that God loves the person getting the abortion AND the beautiful, innocent little babies.   Thank you and I hope that you have realized that life begins at conception, you should help the pro-life movement, and that having an abortion is wrong.   My own mother has 6 children and has never had an abortion!!
",0
"Life doesn't begin at conception. A pregnancy is a PROCESS of creating a life. This process begins with CONCEPTION. So conception is merely the beginning of a process.   Before the fetus can actually be kept alive outside of the mother's womb by society, then the mother alone must have the choice. Society should not take away her choice unless society can keep it alive without her.
",1
"There is a VERY simple answer to the abortion debate:  Abortion should NOT be a form of birth control. It should ONLY be allowed (as a final solution) in the event of a pregnancy resulting from rape, incest, or other sexual crime.
",0
"That sounds like YOUR solution to a minority of people. Don't you dare make everyone abide by the minority's rules. If it was a simple answer, it wouldn't be such a huge issue.   Abortion isn't a form of birth control like condoms or the pill, for those directly involved it's a difficult choice that they have to make because bringing a human life up is no easy task. It's not like having a pet (and even that is a big ask because not all pet owners are responsible).  Again, it's the choice of those directly involved. It doesn't affect anybody else's life, so leave it alone.
",1
"Of all the arguments I have made about this issue I think it comes down to this simple fact; Abortion should be banned because the most dangerous place in America shouldn't be the womb.  I say this because statistically speaking more human beings are killed there everyday than anywhere else. That in my opinion simply should not be.
",0
"So you agree with everything I just said, why then did you not click on the ""support"" link instead of the ""Dispute"" link?
",1
"I would like to offer some clarification on the question ""can I kill it"" and the follow-up question ""what is it""  As I have stated before; the taking of human life requires a high level of justification. No argument that I've seen for abortion rises to the level of proper justification. Please note what I'm discussing; the taking of human life, not any life but human life in particular.   So what does that have to do with the question ""can I kill it"" That question needs to be clarified; hence the follow up question. What I want you to notice is what kind of question ""what is it"" is. It is an ontological question. We're asking about the very nature of the thing in question. And that's important because it determines how we answer the first question. But notice this is a strictly ontological question; it is not a question about level of dependence or development. Why is that important? Because if the thing in question, ontologically speaking, is human then it requires a high level of justification to kill it. If it's not human, no justification is necessary. I'm not saying if it's human you can't kill it, sometimes you can and must but you must properly justify your actions. This is were abortion fails because the only reason it gives for the most part is because the mother just choose to. And yes I'm sure she went through some tough decisions but bottom line; she wants to. Because the fact is she doesn't have to; she has other options.   But what happens when you kill without proper justification? You have to find a way to justify the act because your conscience is smitting you. This is always done by making the victim less than human or not human at all. Because after all if it's not human, no justification is necessary. And this is were I have seen all the arguments for abortion go. They leave the ontological question and move to other areas that are more easily justifiable. Most of them are framed like this:  can I kill it? What is it? it's just a..... Well of course you can  They all answer yes by qualifying the object by something that is easier to justify; a standard that is lower not higher. But let's answer the question head on and notice how the gravity of the question changes when we answer the follow-up question correctly. And by correctly I mean answering the question according to the kind of question it is, an ontological question.  can I kill it? What is it? It's a human, one at the very early stages of it's development......   So let's take the question of this debate head on; Should abortion be banned?   What is abortion?   The taking of a human life at the very early stages of it's development.   Why would you want to do that?   Because I don't want the inconvenience of a child.  Does that sound like proper justification for the taking of human life, especially the weakest and most vulnerable human life?  I have reduced, intentionally, all reasons for an abortion to a matter of convenience because ultimately that's what it comes down to. If a pregnancy, regardless of how it came about, stands between you and what you want it's an inconvenience; and we all know what we do with inconveniences. But this one is a little sticker because it's human. But if we can take away or cloud it's humanity then it will be easier to do.   So should abortion be banned? Of course it should, for obvious reasons.
",0
"No on ehas the right to take away   someones life or decide if they live   or not. by getting rid of an unborn baby it is   destroying potential and you will always  think of what could have been.
",0
"The fundamental issue regarding the abortion debate is not women's rights or other factors which concern personal autonomy, but over the status of the unborn child. Variants of the personal choice argument presuppose that the unborn child is not a human person, for if the unborn child is indeed a human person, then no amount of freedom justifies its elective termination. Henceforth, variants of the personal autonomy argument beg the question by presupposing their conclusions: they are valid if and only if the unborn are not human persons.  First premise is that it is prima facie morally wrong to kill any person. Jane English makes an interesting point that this is not always the case. For example, would not self-defense be a legitimate example of when killing a person is justified? However, the abortion opponent could also claim that fetus' are innocent entities, but even then prima facie it would seem that self-defense would still be legitimate.  A fetus is a person because it posses ""intrinsic potentials"". However, before that he admits that an argument that shows unborn are persons because they have the persons to become persons is absurd...
",1
"A fetus is not a parasite. Its an undeveloped human. No skin cells, hair follicles or any other bunch of cells. A undeveloped human. A woman has eggs for reproduction. These eggs have to be fertilized to create a fetus. If left unchecked as long as the fetus is healthy a human being will be formed inside the womans womb. If a woman doesnt want a child its her responsibility to prevent it from getting started. Women have plenty of ways to prevent unwanted prgnancy. Killing a fetus is wrong. Its a very young human. You can argue details but bottom line is it will one day, if all goes well,become a functioning member of the human race. Terminating this is murder. The question we need to ask is why do we have this problem in our ""advanced"" civilization. Most abortions are from unwanted pregnancy not rapes or medical conditions. Are women not ready for their rights? Mass murder of undeveloped humans because of irresponsibilty. We shouldn't condone this behavior as a womans right. WE should condemn because its a womans responsibility to be a mother when she decides to create a fetus.
",0
"abortion should be banned. abortion is like killing a baby. would you do that? if you would then go ahead and abort, but it is still wrong and should be banned.....
",0
"Abortion is a terrible thing. Abortion dosn't make you un-pregnant, it makes you a mom of a dead baby. Have the kid and put it up for adoption. Just think, that child could find the cure for cancer or do something extremely great. Abortion is horrible and should be banned ASAP!
",0
"Absolutely! Except for cases of rape, incest, and when the life of the mother is at stake.
",0
"I think that stupid teenagers and even older women who decided to have sex when they KNEW they couldn't afford a baby should be restricted from it unless there is a medical problem with the mother.
",0
"I think abortion should be banned because if they didn't want the baby in the first place they shouldn't have opened their legs, should've used a condom, started birth control, used spermicide, etc. There are many other options such as giving the baby up for adoption! If you don't understand they are killing the baby while the baby is still alive and forming. The baby can move, feel, cry, etc. Why would you want to kill a innocent child? That's so wrong.
",0
"i think abortion is a very bad idea. it's killing someone..   if you didn't want a child, your stupid ass should've used a condom..  chruch is highly agaisnt abortion.  go to the freakin teen clinic your horny ass need a condom! they're free there. -.-
",0
"Putting up your unwanted child for adoption as a choice but should not be made compulsory. I actually think it's better for Americans to adopt those unfortunate children from the third world. It will give them a better chance at life in a better society.
",1
"""I have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being.""  So a thirteen year old girl gets raped, and you're saying that the govenrment have the right to force that girl to keep her unwanted baby? I would imagine the girl would never really bond with her baby, and the child would have to grow up knowing of its conception and live with the knowledge that it was not wanted. Surely that is justification enough? That is not a life anyone would want, and surely aborting that baby in its early stages of development would be the better thing to do.  Also, think of the number of children that would end up in care if abortion was banned. There are enough of them already, the banning of abortion would most definately increase this number, and the more children in care, the lower the quality would become. Where would they get the money to look after so many children? Our taxes? It would get rediculous, and there would be a lot of children out there wishing they had never been born.  I do realise that there are problems with abortion, for example, the amount of people who have unsafe sex because they know they can either take the morning after pill or have an abortion is rediculous. But, I'd like to know that if the contraception i was using didn't work and I fell pregnant through no fault of my own, I would be very happy that I have the option to have an abortion.  Also, when do you begin to class a fetus as a human? I personally would not think of it as a human untill about 12 weeks. It doesnt even enter the fetal stage untill the 11th week, surely abortion before this stage is not inhumane?  If there was a contraception out there that was 100% effective, then this would be a more valid arguement. I'm young, and have dreams and aspirations that I could never fulfill if I became pregnant. If contraception can't garrentee that i won't get pregnant, I definately want the choice to have an abortion if i needed one.  You're view seems to be very black and white, and you seem to dismiss the huge grey area that exists. Abortion exists for a reason and should not be banned
",0
"Let me clarify my position, since I misstated it. The first question that needs to be asked is "" what kind of life is it?"" If it is a human life then no reason for abortion is adequate. Therefore no further questions are needed.  I find it rather disturbing that we want to have sex without commitments so badly that we are willing to kill the result of that sexual union.  But isn't that just like human nature, everything is just fine until something conflicts with what we want and stands between us and what we desire. Then laws get broke, peace treaties ignored, property taken and people killed. But the most heinous crime is when we make laws to exonerate ourselves. When we call evil, good. We may be guiltless before the law but that doesn't mean we are not without real quilt. But praise be to God that He has provided a solution to the two greatest problems man faces, guilt and death. With God there is forgiveness, but not without great cost.
",0
"Yes, abortion should be banned. What about adoption? They need to stand up for the mistake they made and have the baby, and if it is unwanted, put it up for adoption. Just don't kill it. I understand that the baby really isn't a baby yet but if a baby isn't wanted, then the person needs to have safe sex. It isn't the baby's fault.
",0
"Murder! i dont care how you got pregnat and why usually it is your choice. so why murder someone you made that is your own flesh and blood. imagine that! murder! murder!
",0
"I think that abortion is absolutely wrong in all ways because it's killing a innocent life. For all you know, that baby could've been the one to make a cure for cancer or AIDS. I think that in a situation such as being raped, that the baby is innocent and the baby had nothing to do with whoever raped you, it's not the baby fault. There are all kinds of options in the world like adoption that you could choose if you don't want your baby. Unplanned pregnancy is no reason to have an abortion because I feel like if you had sex willingly then you knew what the possible outcome could be. I AM 100% AGAINST ABORTION FOR ANY REASON. NO BABY DESERVES THAT!
",0
"I say they should, but it depends. If the woman got raped or a mother could die, I could see some instances where they should not be banned. But basically everything else to me should be banned. So, due to majority, I will say it should be banned :). The term abstinence has apparently become extinct these days...
",0
"I agree with you except on the issue of rape. Why should the child be killed for a crime they didn't commit?
",0
"Why should the woman carry out the child for a crime in which she was a victim and for a child she did not want to have? It could go both ways. Leave it up to the woman to decide.
",0
"You are assuming from a Christian article that everyone in the world must believe in Christianity, which can't happen because God gave man free will. Of course it is not morally right if you are a Christian, but not everyone is a Christian and you have to respect their rights as well. Did not Jesus command, 'love your neighbor as yourself'? Your neighbor could be a Christian, atheist, wiccan, whatever, could they not? It is not up to you to judge someone, leave that to God. No matter what you do or say, people will continue to have abortions in the world. It is an unfortunate fact of life, similar to war, similar to racism, similar to obesity. You see them committing a sin and loudly call them out, but you are being hypocritical because you also sin. You are saying that you are perfect and never sin, which, unless you are Jesus coming back down again, is impossible. I am a Christian as well, but I realize that it is wrong to judge and criticize someone for sinning when I do the same thing as well, albeit a different type. Like I said earlier, leave the judging to God.
",0
"So let me see if I understand you. Killing children isn't actually wrong. It is only if you believe it is. So what Hitler did was good because he thought it was. And it would be good, by your logic, to kill you so long as I believed it was right. Since when does right and wrong depend on what one believes? This is certainly not the view of right and wrong that Jesus of Nazareth held. To be a follower of Him means to hold the same worldview has he does.  About loving: To love someone means to seek the very best for them and protect them from what harms them, You can't say you love someone and then stand by when they are being harmed when it is within your power to do something. Humans in the early stages of life just happen to be your neighbor. Go back and read the passage on the Good Samaritan. Your position is the one the Pharisee took and the one Jesus condemned.  about judging: The passage of scripture were Jesus deals with judging doesn't condemn judging nor forbid it. It does condemn judging hypocritically however. It then goes on to say "" first remove the log from your own eye and then you will see clearly to remove the speck from your brothers""   If judging is wrong for you? why did you judge what I wrote? are you saying that you are perfect and never sin? I guess you don't leave the judging to God do you.
",1
"Brilliant. That's it. Abortion is WRONG, and I don't know why some people can't get it through their thick skulls. Hmmm if you were a baby and were going to be born and you were aborted, you probably would care.
",0
"No, you are way out in left field. Stop the red herrings and keep it to the topic. What does Hitler have to do with abortions? As I said earlier, one of two commandments to adhere to as a Christian (that Jesus said himself in the gospels) is to love your neighbor as yourself. Let me ask you, what did Jesus believe about abortions, since you feel that my interpretation is not right? What is the view of right and wrong according to Jesus of Nazareth?  You stand by and watch people kill each other during war. What kind of love is this? Yes, you can do something concerning abortions. Judging them as a murderer however does not encompass this. That is the main point of my argument. I am saying you cannot judge someone to be murderer and that they are automatically going to hell because they have an abortion.  What do you mean by 'judging what I wrote'? Judging to me is calling a male gay because he wears pink, calling a person retarded because they fail a grade in school, and calling a person hell-bound who has an abortion. Apparently you did not read the last part of my statement concerning sin. Also, I need to know what your definition of judging is, since you disagree with mine.
",0
"Lets see Hitler killed people. abortions kill people. Wow your right, no correlation at all, a true red herring.  Want to know what Jesus taught about abortion, right and wrong and judging people? Go get your Bible and knock off the dust because it would be wise to ask Him not me.  Final thought; We are all lawbreakers and apart from the grace of God, all of us are going to prison for a long time for comic treason. And since the one we offended is infinite in worth, the debt we owe is infinite also. So consider what infinity minus 10 thousand is, infinity. That's how long it will take to pay the debt.   But that's not the question at hand is it; it's about abortion. And for that there is only one question; what's being killed? If it's not human, no justification is necessary. No one needs justification to remove a tumor do they? But if it's a human being killed in an abortion then no justification is adequate.  So if you think abortions shouldn't be banned, please tell me exactly what is being killed in an abortion,
",1
"Hitler was a murderer for having abortions? Like I said, keep it to the topic.   Hmm, lets see...You dispute me, I ask for evidence as to why you dispute me, you come up with ""go check the Bible."" I'm still waiting for the evidence. I ask two simple questions. What did Jesus say about abortions? What is right and wrong according to Jesus? I mean, if you want to cop out and not answer them, you shouldn't keep the debate going, since you were the one who disputed me.  We are all lawbreakers. So how should one type of sin get emphasized over the other? God looks at every sin the same way, except for blasphemy against HS. A person who commits a murder commits the same sin in the eyes of God as someone who lies. Why are you trying to deny it? You have no right to tell someone that their sin is worse than yours, because you are not God, and God does not judge sins that way except for one, blasphemy against HS. ""Go get your Bible"" if you think I am wrong.   I can't keep arguing with you if you continue to take the debate off topic. We are talking specifically about whether you should judge someone as a murderer and hell-bound if they have an abortion. I have said this throughout my past statements, yet you want to keep diverting the topic to something you feel comfortable with. I put my first statement under the 'abortions should be banned' view for a reason. The question is not about what is being killed in an abortion. Obviously it is a human being imo. Again, stop cop-ing out and keep it to the topic. Should you judge someone as a murderer and hell-bound if they have an abortion?
",0
"The funny thing is you say that I say a whole lot of things that I can't find in the things I write. Maybe you could help me out and tell me were I said such things like: ""Hitler was a murderer for having abortions""  ""You have no right to tell someone that their sin is worse than yours"". I said that?  ""Should you judge someone as a murderer and hell-bound if they have an abortion?"" Were did i do that? I thought the question was; Should abortion be banned.   And help me with this one: ""We are talking specifically about whether you should judge someone as a murderer and hell-bound if they have an abortion.""  Who is judging someone as a murderer and hell-bound if they have an abortion?  Please show me were I said that.  Just for the record; my view is that everyone of us, apart from the grace of Jesus Christ, is hell bound for the high crime of cosmic treason, aka idolatry. Romans 1:18-25  Romans 1:25 who exchanged the truth of God for the lie, and worshiped and served the creature rather than the Creator, who is blessed forever. Amen.  If I remember correctly you responded to a post I made quoting Greg Koukl who i thought made a very good point regarding the question of this debate and you responded with, you can't use that, it's Christian. How very judgmental of you.  Anyway, since your not to familiar with what scripture teaches. I'll help you out. And note the part were Jesus says you shall not murder. About right and wrong; notice that Jesus quoted the Ten Commandments here. That's an objective standard, not a subjective one as you suggest. And he says in the last passage that all men will be judged by this law. That means it applies to all men, at all times and in all places. that is the polar opposite of what you say.  So one of you has got to be wrong.  Matthew 19:17-19   17 So He said to him, “Why do you call Me good? No one is good but One, that is, God. But if you want to enter into life, keep the commandments.”  18 He said to Him, “Which ones?”  Jesus said, “ ‘You shall not murder,’ ‘You shall not commit adultery,’ ‘You shall not steal,’ ‘You shall not bear false witness,’ 19 ‘Honor your father and your mother,’ and, ‘You shall love your neighbor as yourself.’”  Matthew 5:20   For I say to you, that unless your righteousness exceeds the righteousness of the scribes and Pharisees, you will by no means enter the kingdom of heaven.
",1
"infer (v)- to derive by reasoning; conclude or judge from premises or evidence  -----  I have stated in my previous arguments that you should not judge someone as a murderer and hell-bound if they have an abortion, and you disputed my argument. Therefore, I can infer that you are against what I have said.  ----  I can see now that we have been arguing two different questions. The question is not about whether abortions should be banned or not. I already answered that they should, with there being exceptions for special circumstances. One of those special circumstances I mentioned was rape, and you disputed me on that circumstance. That does not mean that I am against abortions being banned; I would like for that to happen. I think you got mixed up when I said that and inferred wrongly.   -----  Practically all Christians are against abortions, because it goes against what the Bible says. I am against them too, however I do not believe it is right to judge someone in a negative manner if they do have an abortion. The same goes for gays as well concerning harassment. You shouldn't judge someone, period. When you judge someone, it eventually leads to hate, and God will not forgive you if you do not forgive you neighbor for what they have done. People make bad decisions every day. Their (people having abortions) sin should not be ridiculed upon or emphasized as one of the worst sins, because we also commit sin, and God looks at every sin the same way, except for the one I mentioned in my previous statement. You should tell them that what they are doing is sinful and pray for them, but I don't believe you should harass them and look down upon them for what they have done.  -----  I am inferring that you are a Christian, although I may be wrong. Could you specify what religion you follow? I am a nondenominational evangelical.  -----  I get what you are saying with Romans 1:18-25, but what you fail to realize is that although a person has an abortion, that does not mean that they cannot be forgiven of it and become Christians later on. The only sin in which you cannot be forgiven is blasphemy against the HS (Mark 3:29). You should not degrade them for what they have done, but encourage them to turn to God so that He can forgive them of their past wrongdoings.   -----   How very judgmental of you.   You took it out of context. Read the entire paragraph and you will see my response. I also put in in bold in response to your other statement.  -----   Anyway, since your not to familiar with what scripture teaches.   Wow, and you are calling me judgmental...  -----   note the part were Jesus says you shall not murder. About right and wrong; notice that Jesus quoted the Ten Commandments here.   Jesus condensed them into two commandments for Christians to follow. See Matthew 22:36-40. They revolve around love, not murder.  -----  Hmmm...so let me see here. According to the verses you mentioned, you believe that you must follow the Ten Commandments in order to have eternal life? I want to make sure I understand your point of view, because I disagree with it if it is so.     Romans 10:9,10  ""If you confess with your mouth, 'Jesus is Lord,' and believe in your heart that God raised him from the dead, you will be saved. For it is with your heart that you believe and are justified, and it is with your mouth that you confess and are saved.""  Ephesians 2:8,9:  ""For it is by grace you have been saved, through faith--and this not from youselves, it is the gift of God-- not by works , so that no one can boast. For we are God's workmanship, created in Christ Jesus to do good works, which God prepared in advance for us to do""  I can't go on until I know which religion you follow, but it is clear from these two verses that if you are a Christian, you are saved by faith in God, not by obeying the Ten Commandments. Paul touches on this in his letters. I don't have the time right now to look them all up, but I will list them later on if you would like me to.
",0
"You are correct in your assessment of me. Doctrinally I consider myself a Reformed Baptist, but primarily a follower of the historical Jesus of Nazareth. I also think we agree for the most part, however I took exception with several things you said because I found them to be inconsistent with a Christian World-view. Primarily your statement that Christian morality applies solely to Christians. That is known as moral relativism (for a full discussion of this please see the book by Francis J. Beckwith and Greg Koukl titled: Relativism: Feet Firmly Planted in Mid-Air ) The scripture I quoted was to make the point that morality, according to Jesus, was objective. I was very explicit about that; to infer anything beyond that is to read into what I said something that is not there.   I also took and take exception to your insistence that we are commanded not to judge. The only thing I can find is a command not to judge hypocritically and then a command to judge once we have dealt with our own sin. I do agree with your sentiment of judgmentalism and the holier than thou attitude I think your are trying to address. If we are saved by grace alone, through faith alone, in Christ alone then we have nothing in which to boast. Even the faith I have is a gift from God Ephesians 2:8 I am by nature a murderer and hell bound sinner and deserving of the wrath of God, but I have received mercy and I 'm now commanded to go and show mercy as I have been shown mercy.  But I ask how are we to fulfill the great commission if we first don't judge that people are murderers( see the sermon on the mount) and hell-bound? If there is no peril, there is no need of a savior and no need to warn people. And that means that Jesus died in vain. But Jesus made a judgment, people are murderers and hell-bound and it matters not how they got there, only that they need to be saved. And He asked me to go for Him and seek and save that which is lost. If I'm His follower than I'll do what he commands me.  “If you love Me, keep My commandments"" John 14:15   Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age.” Amen. Matthew 28:19-20
",0
"No, as a Christian, I believe the morality that God gave and still gives applies to everyone of every race, regardless of religion. There is no such thing as another religion, for they are committing idolatry. Either you interpreted my statement wrongly or I misspoke. I don't believe morals are relative to peoples of a certain religion or a certain culture. If I did, I wouldn't be a Christian because I would be contradicting myself and my beliefs.   I think it is important that we go over the verses in question and see the meaning behind it.  Matthew 7:1-5  ""Stop judging others and you will not be judged. For others will treat you as you treat them. Whatever measure you use in judging others, it will be used to measure how you are judged. And why worry about a speck in your friend's eye when you have a log in your own? How can you think of saying, 'let me help you get rid of that speck in your eye,' when you can't see past the log in your own eye? Hypocrite! First get rid of the log from your own eye; then perhaps you will see well enough to deal with the speck in your friend's eye.""  My interpretation of these verses are that Jesus is warning you from judging someone else for their sin when you sin even worse, in other words being hypocritical. Now, as a Christian, it is your duty in Matthew 18:15-17 to kindly confront the person about what they have done, with the goal being to bring repentance in that person (James 5:20). You could also look at 2 Timothy 4:2, where it says that you should kindly correct, rebuke, and encourage with good teaching. You see what I am saying? You are not to judge someone, but to rather point out the truth to them so that James 5:20 can occur. To kindly come up to someone and tell them that what they are doing is wrong for the purpose of bringing them closer to Christ is not the same as pronouncing judgment upon someone. We are to judge the  sin  as murder, and always with the goal of helping the  person  see that Jesus is a solution for the consequences of sin. Now, if I go up to someone who commits an abortion and yell at them that they are going to hell for being a murderer, what does that solve? It doesn't solve anything. This is the kind of hypocritical judgment Jesus was talking about in Matthew 7.   On the other hand, if you kindly go up to the person, show them where they made the mistake, tell them that they can be forgiven of it with the blood of Jesus Christ, and send them on their way, you plant the seed in them in which they can hopefully come to Jesus. Of course, it is up to them to decide, but by showing them the solution to the problem, you have a much greater chance of that person coming to grips with what they have done, and then turning to Jesus and becoming saved.
",1
"Palinin,  Help me with something if you can. As I read back through this debate something odd jumped out at me. You dismiss and ignore every point I raise and then expect me to answer every point you raise; why is that? waiting for a response.
",1
"There is a difference between refuting and ignoring. I addressed every point you made and didn't keep bringing up topics that were irrelevant to the debate, such as Hitler.   Abortion for Rape Victims?  By Gregory Koukl   You are assuming from a Christian article that everyone in the world must believe in Christianity,  which can't happen because God gave man free will.    So what Hitler did was good because he thought it was.    What does Hitler have to do with abortions?    To be a follower of Him means to hold the same worldview has he does.    As I said earlier, one of two commandments to adhere to as a Christian (that Jesus said himself in the gospels) is to love your neighbor as yourself.    We are all lawbreakers and apart from the grace of God    We are all lawbreakers.
",0
"The Jewish Holocaust is considered a life issue.  Life issues also include abortion and euthanasia.
",1
"""if you were a baby, were going to be born and were aborted, you probably would care"" this statement is all about ""if"". In reality, the fetus has no mental capacity to care about anything. Before it could survive outside of the mother's womb, it should be entirely the mother's choice, not society's. I believe this is about 20 weeks into the pregnancy.
",1
"HItler has everything to do with abortion!  The only difference between the Jewish Holocaust and the Abortion Holocaust is that the abortion holocaust is longer and many more people have died!
",1
